VERSION;7.2.1.201802190531
DATE;11/05/2018 18:10
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0003;NQDS QO WELL PROD9;0.9140323031569233
1;base0003;NQDS BHP WELL PROD9;-1.145219174435377
1;base0003;NQDS QL WELL PROD10;1.449274406143044E-10
1;base0003;NQDS QW WELL PROD10;-13.71062300635284
1;base0003;NQDS QO WELL PROD10;0.3360342469529394
1;base0003;NQDS BHP WELL PROD10;-0.36642315676916
1;base0003;NQDS QWI WELL INJ1;0.0
1;base0003;NQDS BHP WELL INJ1;0.1404865997622936
1;base0003;NQDS QWI WELL INJ2;0.0
1;base0003;NQDS BHP WELL INJ2;-0.1178114860876
1;base0003;NQDS QWI WELL INJ3;0.0
1;base0003;NQDS BHP WELL INJ3;0.2359474246807397
1;base0003;NQDS QWI WELL INJ4;0.0
1;base0003;NQDS BHP WELL INJ4;-0.7308509953349535
1;base0003;NQDS QWI WELL INJ5;0.0
1;base0003;NQDS BHP WELL INJ5;-0.2226308729789531
1;base0003;NQDS QWI WELL INJ6;0.0
1;base0003;NQDS BHP WELL INJ6;-0.3252937457255403
1;base0003;NQDS QWI WELL INJ7;0.0
1;base0003;NQDS BHP WELL INJ7;-1.396118388595395
1;base0003;NQDS QWI WELL INJ8;0.0
1;base0003;NQDS BHP WELL INJ8;0.1950856476385427
1;base0003;NQDS QWI WELL INJ9;0.0
1;base0003;NQDS BHP WELL INJ9;-0.2389912216814864
1;base0004;NQDS QL WELL WILDCAT;2.681256093515812E-10
1;base0004;NQDS QW WELL WILDCAT;3.356096229842298
1;base0004;NQDS QO WELL WILDCAT;-0.09257070274446479
1;base0004;NQDS BHP WELL WILDCAT;-0.5071493145102549
1;base0004;NQDS QL WELL PROD1;3.055165194904383E-10
1;base0004;NQDS QW WELL PROD1;-50.77818256096681
1;base0004;NQDS QO WELL PROD1;4.708958064370151
1;base0004;NQDS BHP WELL PROD1;-0.7967796230129617
1;base0004;NQDS QL WELL PROD2;1.77748008199637E-10
1;base0004;NQDS QW WELL PROD2;-63.03399632220899
1;base0004;NQDS QO WELL PROD2;14.20433624425782
1;base0004;NQDS BHP WELL PROD2;-1.452524191896749
1;base0004;NQDS QL WELL PROD3;-1.827525554954459E-10
1;base0004;NQDS QW WELL PROD3;239.8073567352902
1;base0004;NQDS QO WELL PROD3;-2.128529548627645
1;base0004;NQDS BHP WELL PROD3;-0.6415688311992714
1;base0004;NQDS QL WELL PROD4;3.612588672080155E-10
1;base0004;NQDS QW WELL PROD4;-25.67114948844205
1;base0004;NQDS QO WELL PROD4;1.948561351916747
1;base0004;NQDS BHP WELL PROD4;-0.3872976634439137
1;base0004;NQDS QL WELL PROD5;3.198115109553619E-14
1;base0004;NQDS QW WELL PROD5;1.054694234533034E-12
1;base0004;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0004;NQDS BHP WELL PROD5;-1.863770100268583
1;base0004;NQDS QL WELL PROD6;8.297776678146126E-12
1;base0004;NQDS QW WELL PROD6;-76.73357843025117
1;base0004;NQDS QO WELL PROD6;3.013829109008083
1;base0004;NQDS BHP WELL PROD6;-0.3828812642107567
1;base0004;NQDS QL WELL PROD7;-3.348206713922073E-10
1;base0004;NQDS QW WELL PROD7;-23.567146510874
1;base0004;NQDS QO WELL PROD7;2.657730748961825
1;base0004;NQDS BHP WELL PROD7;-6.056880097370285
1;base0004;NQDS QL WELL PROD8;8.414633199040227E-11
1;base0004;NQDS QW WELL PROD8;-48.57893641188002
1;base0004;NQDS QO WELL PROD8;0.837936913324352
1;base0004;NQDS BHP WELL PROD8;-1.065827223243244
1;base0004;NQDS QL WELL PROD9;1.760161634007948E-11
1;base0004;NQDS QW WELL PROD9;-59.35154236598844
1;base0004;NQDS QO WELL PROD9;1.394487392497007
1;base0004;NQDS BHP WELL PROD9;-3.363301270516605
1;base0004;NQDS QL WELL PROD10;2.562454151046641E-13
1;base0004;NQDS QW WELL PROD10;-67.15114764289642
1;base0004;NQDS QO WELL PROD10;1.645837686675028
1;base0004;NQDS BHP WELL PROD10;-0.5906655601231561
1;base0004;NQDS QWI WELL INJ1;0.0
1;base0004;NQDS BHP WELL INJ1;1.666895273415231
1;base0004;NQDS QWI WELL INJ2;0.0
1;base0004;NQDS BHP WELL INJ2;-0.1331945581726577
1;base0004;NQDS QWI WELL INJ3;0.0
1;base0004;NQDS BHP WELL INJ3;0.7102274435380456
1;base0004;NQDS QWI WELL INJ4;0.0
1;base0004;NQDS BHP WELL INJ4;-0.6149518282344436
1;base0004;NQDS QWI WELL INJ5;0.0
1;base0004;NQDS BHP WELL INJ5;-0.1418931606500076
1;base0004;NQDS QWI WELL INJ6;0.0
1;base0004;NQDS BHP WELL INJ6;0.2636115405859802
1;base0004;NQDS QWI WELL INJ7;0.0
1;base0004;NQDS BHP WELL INJ7;-0.4626798768525507
1;base0004;NQDS QWI WELL INJ8;0.0
1;base0004;NQDS BHP WELL INJ8;1.15839302806628
1;base0004;NQDS QWI WELL INJ9;0.0
1;base0004;NQDS BHP WELL INJ9;-0.1487918000832143
1;base0005;NQDS QL WELL WILDCAT;-2.171618874685519E-10
1;base0005;NQDS QW WELL WILDCAT;-2.724394605590342
1;base0005;NQDS QO WELL WILDCAT;0.07515572915371319
1;base0005;NQDS BHP WELL WILDCAT;-2.046022503816833
1;base0005;NQDS QL WELL PROD1;-4.021998627356958E-10
1;base0005;NQDS QW WELL PROD1;-40.203414608934
1;base0005;NQDS QO WELL PROD1;3.728272343849023
1;base0005;NQDS BHP WELL PROD1;-0.342476206904358
1;base0005;NQDS QL WELL PROD2;3.04870563860164E-10
1;base0005;NQDS QW WELL PROD2;-59.2833679168026
1;base0005;NQDS QO WELL PROD2;13.3591138970849
1;base0005;NQDS BHP WELL PROD2;-5.090205657137686
1;base0005;NQDS QL WELL PROD3;1.001843849668086E-10
1;base0005;NQDS QW WELL PROD3;0.002520760376478963
1;base0005;NQDS QO WELL PROD3;-2.238525635375642E-5
1;base0005;NQDS BHP WELL PROD3;-0.8461720226495804
1;base0005;NQDS QL WELL PROD4;-3.590640964431158E-10
1;base0005;NQDS QW WELL PROD4;-14.37030153862469
1;base0005;NQDS QO WELL PROD4;1.090786975533965
1;base0005;NQDS BHP WELL PROD4;-0.6066265893530401
1;base0005;NQDS QL WELL PROD5;9.567743353736615E-14
1;base0005;NQDS QW WELL PROD5;3.1553097393315E-12
1;base0005;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0005;NQDS BHP WELL PROD5;-2.577011319734107
1;base0005;NQDS QL WELL PROD6;4.156423663314558E-13
1;base0005;NQDS QW WELL PROD6;-76.73359750080496
1;base0005;NQDS QO WELL PROD6;3.013829109008083
1;base0005;NQDS BHP WELL PROD6;-1.93497850431901
1;base0005;NQDS QL WELL PROD7;-4.030174828336071E-10
1;base0005;NQDS QW WELL PROD7;-29.19350909269532
1;base0005;NQDS QO WELL PROD7;3.292222810604132
1;base0005;NQDS BHP WELL PROD7;-0.7628537824029527
1;base0005;NQDS QL WELL PROD8;-2.939410930122396E-10
1;base0005;NQDS QW WELL PROD8;20.27318120951175
1;base0005;NQDS QO WELL PROD8;-0.349757685131806
1;base0005;NQDS BHP WELL PROD8;-0.7799267334566944
1;base0005;NQDS QL WELL PROD9;9.901016863507858E-15
1;base0005;NQDS QW WELL PROD9;-59.35529922291051
1;base0005;NQDS QO WELL PROD9;1.394575148902702
1;base0005;NQDS BHP WELL PROD9;-0.3648373689215966
1;base0005;NQDS QL WELL PROD10;3.432266491811784E-12
1;base0005;NQDS QW WELL PROD10;-67.15112506338743
1;base0005;NQDS QO WELL PROD10;1.645837686675028
1;base0005;NQDS BHP WELL PROD10;-0.628989707906538
1;base0005;NQDS QWI WELL INJ1;0.0
1;base0005;NQDS BHP WELL INJ1;0.6661020297341219
1;base0005;NQDS QWI WELL INJ2;0.0
1;base0005;NQDS BHP WELL INJ2;1.070938795307802
1;base0005;NQDS QWI WELL INJ3;0.0
1;base0005;NQDS BHP WELL INJ3;1.878480283040041
1;base0005;NQDS QWI WELL INJ4;0.0
1;base0005;NQDS BHP WELL INJ4;-0.809901914771965
1;base0005;NQDS QWI WELL INJ5;0.0
1;base0005;NQDS BHP WELL INJ5;-0.1425743495772535
1;base0005;NQDS QWI WELL INJ6;0.0
1;base0005;NQDS BHP WELL INJ6;0.2143307136736223
1;base0005;NQDS QWI WELL INJ7;0.0
1;base0005;NQDS BHP WELL INJ7;-0.7294738470553787
1;base0005;NQDS QWI WELL INJ8;0.0
1;base0005;NQDS BHP WELL INJ8;0.7095875322872254
1;base0005;NQDS QWI WELL INJ9;0.0
1;base0005;NQDS BHP WELL INJ9;-0.3286153745825353
1;base0006;NQDS QL WELL WILDCAT;-1.722865599778625E-10
1;base0006;NQDS QW WELL WILDCAT;-5.611485180784266
1;base0006;NQDS QO WELL WILDCAT;0.1548000710961282
1;base0006;NQDS BHP WELL WILDCAT;-0.3473845476755984
1;base0006;NQDS QL WELL PROD1;4.332602788136464E-10
1;base0006;NQDS QW WELL PROD1;5.325283943084832
1;base0006;NQDS QO WELL PROD1;-0.4938445147754254
1;base0006;NQDS BHP WELL PROD1;-0.3585954836513461
1;base0006;NQDS QL WELL PROD2;-3.850257715361367E-10
1;base0006;NQDS QW WELL PROD2;-43.97933204106199
1;base0006;NQDS QO WELL PROD2;9.910350115255394
1;base0006;NQDS BHP WELL PROD2;-0.5465264952896852
1;base0006;NQDS QL WELL PROD3;-3.254284189220188E-10
1;base0006;NQDS QW WELL PROD3;60.2525730819925
1;base0006;NQDS QO WELL PROD3;-0.5348050194828408
1;base0006;NQDS BHP WELL PROD3;0.3272359148029709
1;base0006;NQDS QL WELL PROD4;3.415620365526203E-10
1;base0006;NQDS QW WELL PROD4;8.278234140285695
1;base0006;NQDS QO WELL PROD4;-0.6282639108995143
1;base0006;NQDS BHP WELL PROD4;-0.3690059006199766
1;base0006;NQDS QL WELL PROD5;9.719544051570001E-14
